DEPARTAMENTO;"GRUPO 
DE CULTIVO";DESAGREGACI흁 REGIONAL Y/O SISTEMA PRODUCTIVO;Hect痙eas sembradas, 2007-2012
AMAZONAS;CEREALES;ARROZ SECANO MANUAL;312
AMAZONAS;CEREALES;MAIZ TRADICIONAL;2124,5
AMAZONAS;FRUTALES;AGUACATE;70
AMAZONAS;FRUTALES;AGUAJE;325
AMAZONAS;FRUTALES;ARAZA;448
AMAZONAS;FRUTALES;ASAI;338
AMAZONAS;FRUTALES;BACURI;5
AMAZONAS;FRUTALES;BANANO;129
AMAZONAS;FRUTALES;BOROJO;14
AMAZONAS;FRUTALES;CAIMO;25
AMAZONAS;FRUTALES;CHONTADURO;89
AMAZONAS;FRUTALES;COCO;48
AMAZONAS;FRUTALES;COPOAZU;669
AMAZONAS;FRUTALES;FRUTALES VARIOS;237
AMAZONAS;FRUTALES;GUAMA;297
AMAZONAS;FRUTALES;GUANABANA;39
AMAZONAS;FRUTALES;GUAYABA;46
AMAZONAS;FRUTALES;LIMON;32
AMAZONAS;FRUTALES;MACADAMIA;5
AMAZONAS;FRUTALES;MANDARINA;13
AMAZONAS;FRUTALES;MANGO;142
AMAZONAS;FRUTALES;NARANJA;23
AMAZONAS;FRUTALES;PAPAYA;6
AMAZONAS;FRUTALES;PATILLA;37
AMAZONAS;FRUTALES;PEPA DE PAN;3
AMAZONAS;FRUTALES;PI헤;495
AMAZONAS;FRUTALES;POMARROSA;17
AMAZONAS;FRUTALES;UMARI;23
AMAZONAS;FRUTALES;UVA CAIMARONA;572
AMAZONAS;FRUTALES;ZAPOTE;2
AMAZONAS;HORTALIZAS;AHUYAMA;22
AMAZONAS;HORTALIZAS;AJI;143
AMAZONAS;HORTALIZAS;CEBOLLA DE RAMA;89
AMAZONAS;HORTALIZAS;CILANTRO;134,5
AMAZONAS;HORTALIZAS;PEPINO COHOMBRO;67
AMAZONAS;HORTALIZAS;PIMENTON;165,5
AMAZONAS;HORTALIZAS;TOMATE;107,5
AMAZONAS;LEGUMINOSAS;FRIJOL;36,5
AMAZONAS;LEGUMINOSAS;HABICHUELA;6
AMAZONAS;LEGUMINOSAS;MANI;13
AMAZONAS;OLEAGINOSAS;SACHA INCHI;3
AMAZONAS;OTROS PERMANENTES;CACAO;40
AMAZONAS;OTROS PERMANENTES;CA헤 PANELERA;171
AMAZONAS;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;ACHICORIA;15
AMAZONAS;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;CANYARANA;5
AMAZONAS;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;CURCUMA;9
AMAZONAS;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;JENGIBRE;5
AMAZONAS;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;TANGARANA;2
AMAZONAS;TUBERCULOS Y PLATANOS;BATATA;7
AMAZONAS;TUBERCULOS Y PLATANOS;헤ME;7
AMAZONAS;TUBERCULOS Y PLATANOS;PAPA CHINA;1
AMAZONAS;TUBERCULOS Y PLATANOS;PLATANO;3106
AMAZONAS;TUBERCULOS Y PLATANOS;YUCA;6343
ANTIOQUIA;CEREALES;ARROZ SECANO MANUAL;56302,5
ANTIOQUIA;CEREALES;ARROZ SECANO MECANIZADO;19590
ANTIOQUIA;CEREALES;MAIZ FORRAJERO;150
ANTIOQUIA;CEREALES;MAIZ TECNIFICADO;19264
ANTIOQUIA;CEREALES;MAIZ TRADICIONAL;141966
ANTIOQUIA;FIBRAS;ALGODON;474
ANTIOQUIA;FIBRAS;FIQUE;13755
ANTIOQUIA;FLORES Y FOLLAJES;ANTURIO;5
ANTIOQUIA;FLORES Y FOLLAJES;ASTROMELIA;6
ANTIOQUIA;FLORES Y FOLLAJES;FLORES Y FOLLAJES;78
ANTIOQUIA;FLORES Y FOLLAJES;HELICONIA;79
ANTIOQUIA;FLORES Y FOLLAJES;HORTENSIA;1807
ANTIOQUIA;FLORES Y FOLLAJES;ORQUIDEA;4
ANTIOQUIA;FLORES Y FOLLAJES;ROSA;46
ANTIOQUIA;FORESTALES;CAUCHO;30130
ANTIOQUIA;FRUTALES;AGUACATE;30538
ANTIOQUIA;FRUTALES;BANANITO;351
ANTIOQUIA;FRUTALES;BANANO;6859
ANTIOQUIA;FRUTALES;BANANO EXPORTACION;200509
ANTIOQUIA;FRUTALES;BANANO MANZANO;2930
ANTIOQUIA;FRUTALES;BOROJO;715
ANTIOQUIA;FRUTALES;BREVO;114
ANTIOQUIA;FRUTALES;CHIRIMOYA;124
ANTIOQUIA;FRUTALES;CHONTADURO;85
ANTIOQUIA;FRUTALES;CITRICOS;1828
ANTIOQUIA;FRUTALES;COCO;3440
ANTIOQUIA;FRUTALES;COROZO;40
ANTIOQUIA;FRUTALES;CURUBA;317
ANTIOQUIA;FRUTALES;FRESA;1795
ANTIOQUIA;FRUTALES;FRUTALES VARIOS;80
ANTIOQUIA;FRUTALES;GRANADILLA;1742
ANTIOQUIA;FRUTALES;GUANABANA;1929
ANTIOQUIA;FRUTALES;GUAYABA;4907
ANTIOQUIA;FRUTALES;GUAYABA MANZANA;41
ANTIOQUIA;FRUTALES;GUAYABA PERA;76
ANTIOQUIA;FRUTALES;GULUPA;212
ANTIOQUIA;FRUTALES;HIGO;599
ANTIOQUIA;FRUTALES;LIMA TAHITI;1730
ANTIOQUIA;FRUTALES;LIMON;408
ANTIOQUIA;FRUTALES;LIMON MANDARINO;151
ANTIOQUIA;FRUTALES;LIMON PAJARITO;1194
ANTIOQUIA;FRUTALES;LULO;1589
ANTIOQUIA;FRUTALES;MAMONCILLO;307
ANTIOQUIA;FRUTALES;MANDARINA;7
ANTIOQUIA;FRUTALES;MANDARINA CLEMENTINA;261
ANTIOQUIA;FRUTALES;MANDARINA ONECO;2186
ANTIOQUIA;FRUTALES;MANGO;14349
ANTIOQUIA;FRUTALES;MANGO INJERTO;159
ANTIOQUIA;FRUTALES;MARACUYA;2395
ANTIOQUIA;FRUTALES;MORA;9448
ANTIOQUIA;FRUTALES;MURRAPO;5374
ANTIOQUIA;FRUTALES;NARANJA;621
ANTIOQUIA;FRUTALES;NARANJA JAFFA;8
ANTIOQUIA;FRUTALES;NARANJA SALUSTIANA;447
ANTIOQUIA;FRUTALES;NARANJA VALENCIA;13458
ANTIOQUIA;FRUTALES;NARANJA WASHINGTON NAVEL;366
ANTIOQUIA;FRUTALES;PAPAYA;278
ANTIOQUIA;FRUTALES;PAPAYA HAWAIANA;1493
ANTIOQUIA;FRUTALES;PATILLA;78
ANTIOQUIA;FRUTALES;PI헤;1278
ANTIOQUIA;FRUTALES;PITAHAYA;3
ANTIOQUIA;FRUTALES;TAMARINDO;223
ANTIOQUIA;FRUTALES;TANGELO MINEOLA;501
ANTIOQUIA;FRUTALES;TANGELO ORLANDO;302
ANTIOQUIA;FRUTALES;TOMATE DE ARBOL;16328
ANTIOQUIA;FRUTALES;UCHUVA;1078
ANTIOQUIA;FRUTALES;UVA;5
ANTIOQUIA;FRUTALES;ZAPOTE;463
ANTIOQUIA;HORTALIZAS;AHUYAMA;355,5
ANTIOQUIA;HORTALIZAS;AJI;398,5
ANTIOQUIA;HORTALIZAS;AJO;25,5
ANTIOQUIA;HORTALIZAS;APIO;325,5
ANTIOQUIA;HORTALIZAS;BROCOLI;545
ANTIOQUIA;HORTALIZAS;CEBOLLA DE BULBO;83
ANTIOQUIA;HORTALIZAS;CEBOLLA DE RAMA;2716
ANTIOQUIA;HORTALIZAS;CILANTRO;396
ANTIOQUIA;HORTALIZAS;COL;97
ANTIOQUIA;HORTALIZAS;COLIFLOR;100
ANTIOQUIA;HORTALIZAS;ESPARRAGO;2
ANTIOQUIA;HORTALIZAS;ESPINACA;143
ANTIOQUIA;HORTALIZAS;HORTALIZAS VARIAS;157
ANTIOQUIA;HORTALIZAS;LECHUGA;1730,5
ANTIOQUIA;HORTALIZAS;PEPINO COHOMBRO;79
ANTIOQUIA;HORTALIZAS;PIMENTON;1499,5
ANTIOQUIA;HORTALIZAS;REMOLACHA;1504,5
ANTIOQUIA;HORTALIZAS;REPOLLO;4144
ANTIOQUIA;HORTALIZAS;TOMATE;3392
ANTIOQUIA;HORTALIZAS;TOMATE INVERNADERO;892
ANTIOQUIA;HORTALIZAS;ZANAHORIA;5252,5
ANTIOQUIA;LEGUMINOSAS;ARVEJA;2255
ANTIOQUIA;LEGUMINOSAS;FRIJOL ARBUSTIVO;21045
ANTIOQUIA;LEGUMINOSAS;FRIJOL VOLUBLE;53333
ANTIOQUIA;LEGUMINOSAS;HABICHUELA;1413,5
ANTIOQUIA;OLEAGINOSAS;HIGUERILLA;11
ANTIOQUIA;OLEAGINOSAS;JATROPHA;39
ANTIOQUIA;OLEAGINOSAS;PALMA DE ACEITE;6191
ANTIOQUIA;OTROS PERMANENTES;CACAO;90812
ANTIOQUIA;OTROS PERMANENTES;CAFE;797151
ANTIOQUIA;OTROS PERMANENTES;CA헤 PANELERA;241809
ANTIOQUIA;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;CARDAMOMO;2118
ANTIOQUIA;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;CURCUMA;6
ANTIOQUIA;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;MANZANILLA;8
ANTIOQUIA;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;PIMIENTA;4
ANTIOQUIA;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;PLANTAS AROMATICAS;23
ANTIOQUIA;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;STEVIA;11
ANTIOQUIA;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;TOMILLO;14
ANTIOQUIA;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;VAINILLA;120
ANTIOQUIA;TUBERCULOS Y PLATANOS;ACHIN;6
ANTIOQUIA;TUBERCULOS Y PLATANOS;ARRACACHA;1185
ANTIOQUIA;TUBERCULOS Y PLATANOS;헤ME;10822
ANTIOQUIA;TUBERCULOS Y PLATANOS;헤ME DIAMANTE;680
ANTIOQUIA;TUBERCULOS Y PLATANOS;PAPA;40534,5
ANTIOQUIA;TUBERCULOS Y PLATANOS;PAPA CRIOLLA;3144,5
ANTIOQUIA;TUBERCULOS Y PLATANOS;PLATANO;266554
ANTIOQUIA;TUBERCULOS Y PLATANOS;PLATANO EXPORTACION;108027
ANTIOQUIA;TUBERCULOS Y PLATANOS;YUCA;59526
ARAUCA;CEREALES;ARROZ RIEGO;945
ARAUCA;CEREALES;ARROZ SECANO MECANIZADO;24753,5
ARAUCA;CEREALES;MAIZ TRADICIONAL;69220,5
ARAUCA;CEREALES;SORGO;430
ARAUCA;FRUTALES;AGUACATE;302
ARAUCA;FRUTALES;CITRICOS;2092
ARAUCA;FRUTALES;MARACUYA;9
ARAUCA;FRUTALES;PAPAYA;1016
ARAUCA;FRUTALES;PATILLA;80
ARAUCA;FRUTALES;PI헤;683
ARAUCA;OLEAGINOSAS;PALMA DE ACEITE;65
ARAUCA;OTROS PERMANENTES;CACAO;84914
ARAUCA;OTROS PERMANENTES;CAFE;150
ARAUCA;OTROS PERMANENTES;CA헤 MIEL;1514
ARAUCA;OTROS PERMANENTES;CA헤 PANELERA;3704
ARAUCA;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;ACHIOTE (BIJA);285
ARAUCA;TUBERCULOS Y PLATANOS;PLATANO;142615
ARAUCA;TUBERCULOS Y PLATANOS;YUCA;48148
ATLANTICO;CEREALES;ARROZ RIEGO;1503,5
ATLANTICO;CEREALES;ARROZ SECANO MANUAL;2
ATLANTICO;CEREALES;MAIZ TECNIFICADO;2591
ATLANTICO;CEREALES;MAIZ TRADICIONAL;33982,5
ATLANTICO;CEREALES;MILLO;7223
ATLANTICO;CEREALES;SORGO;13393
ATLANTICO;FIBRAS;ALGODON;555
ATLANTICO;FIBRAS;PALMA AMARGA;90
ATLANTICO;FLORES Y FOLLAJES;EUCALIPTO BABY BLUE;37
ATLANTICO;FLORES Y FOLLAJES;FLORES Y FOLLAJES;12
ATLANTICO;FRUTALES;BANANO;6
ATLANTICO;FRUTALES;CIRUELA;2748
ATLANTICO;FRUTALES;COCO;11
ATLANTICO;FRUTALES;GUANABANA;8
ATLANTICO;FRUTALES;GUAYABA;2747
ATLANTICO;FRUTALES;LIMA TAHITI;76
ATLANTICO;FRUTALES;LIMON;5753
ATLANTICO;FRUTALES;MAMEY;3
ATLANTICO;FRUTALES;MANGO;7117
ATLANTICO;FRUTALES;MARA헲N;101
ATLANTICO;FRUTALES;MELON;1550,5
ATLANTICO;FRUTALES;NARANJA;468
ATLANTICO;FRUTALES;NISPERO;152
ATLANTICO;FRUTALES;NONI;1
ATLANTICO;FRUTALES;PAPAYA;324
ATLANTICO;FRUTALES;PATILLA;1771,5
ATLANTICO;FRUTALES;PI헤;43
ATLANTICO;FRUTALES;POMELO;30
ATLANTICO;FRUTALES;TAMARINDO;101
ATLANTICO;HORTALIZAS;AHUYAMA;1694
ATLANTICO;HORTALIZAS;AJI;924,5
ATLANTICO;HORTALIZAS;BERENJENA;80
ATLANTICO;HORTALIZAS;CEBOLLA DE RAMA;151
ATLANTICO;HORTALIZAS;CILANTRO;70
ATLANTICO;HORTALIZAS;COL;29,5
ATLANTICO;HORTALIZAS;HORTALIZAS VARIAS;1
ATLANTICO;HORTALIZAS;TOMATE;666,5
ATLANTICO;LEGUMINOSAS;FRIJOL;3534,5
ATLANTICO;LEGUMINOSAS;GUANDUL;8546
ATLANTICO;LEGUMINOSAS;HABICHUELA;283,5
ATLANTICO;LEGUMINOSAS;SOYA;204,5
ATLANTICO;OLEAGINOSAS;AJONJOLI;52
ATLANTICO;OLEAGINOSAS;HIGUERILLA;82
ATLANTICO;OLEAGINOSAS;PALMA DE ACEITE;1453
ATLANTICO;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;FLOR DE JAMAICA;7
ATLANTICO;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;SABILA;297
ATLANTICO;TUBERCULOS Y PLATANOS;BATATA;7
ATLANTICO;TUBERCULOS Y PLATANOS;헤ME;3622
ATLANTICO;TUBERCULOS Y PLATANOS;PLATANO;1433
ATLANTICO;TUBERCULOS Y PLATANOS;YUCA;50393
BOLIVAR;CEREALES;ARROZ RIEGO;15692,5
BOLIVAR;CEREALES;ARROZ SECANO MANUAL;34142
BOLIVAR;CEREALES;ARROZ SECANO MECANIZADO;37849
BOLIVAR;CEREALES;MAIZ TECNIFICADO;17978
BOLIVAR;CEREALES;MAIZ TRADICIONAL;289514
BOLIVAR;CEREALES;MILLO;7552,5
BOLIVAR;CEREALES;SORGO;6555
BOLIVAR;FIBRAS;ALGODON;13100
BOLIVAR;FORESTALES;CAUCHO;2449
BOLIVAR;FRUTALES;AGUACATE;24266
BOLIVAR;FRUTALES;CIRUELA;234
BOLIVAR;FRUTALES;COCO;2959
BOLIVAR;FRUTALES;GUANABANA;82
BOLIVAR;FRUTALES;GUAYABA;3185
BOLIVAR;FRUTALES;LIMON;471
BOLIVAR;FRUTALES;MANGO;7893
BOLIVAR;FRUTALES;MELON;2537,5
BOLIVAR;FRUTALES;NARANJA;5516
BOLIVAR;FRUTALES;NISPERO;100
BOLIVAR;FRUTALES;PAPAYA;7
BOLIVAR;FRUTALES;PATILLA;907
BOLIVAR;FRUTALES;PI헤;1305
BOLIVAR;FRUTALES;PITAHAYA;310
BOLIVAR;HORTALIZAS;AHUYAMA;2509,5
BOLIVAR;HORTALIZAS;AJI DULCE;2235
BOLIVAR;HORTALIZAS;AJI TABASCO;595
BOLIVAR;HORTALIZAS;BERENJENA;259,5
BOLIVAR;HORTALIZAS;CILANTRO;5
BOLIVAR;HORTALIZAS;COL;4,5
BOLIVAR;HORTALIZAS;HORTALIZAS VARIAS;90
BOLIVAR;HORTALIZAS;PEPINO COHOMBRO;4,5
BOLIVAR;HORTALIZAS;PIMENTON;4
BOLIVAR;HORTALIZAS;TOMATE;4
BOLIVAR;LEGUMINOSAS;FRIJOL;13715,5
BOLIVAR;LEGUMINOSAS;HABICHUELA;11
BOLIVAR;OLEAGINOSAS;AJONJOLI;5239
BOLIVAR;OLEAGINOSAS;PALMA DE ACEITE;138897
BOLIVAR;OTROS PERMANENTES;CACAO;35343
BOLIVAR;OTROS PERMANENTES;CAFE;5914
BOLIVAR;OTROS PERMANENTES;CA헤 PANELERA;6229
BOLIVAR;OTROS PERMANENTES;TABACO NEGRO;4229
BOLIVAR;OTROS TRANSITORIOS;TABACO RUBIO;1666
BOLIVAR;TUBERCULOS Y PLATANOS;헤ME;91713
BOLIVAR;TUBERCULOS Y PLATANOS;PLATANO;27478
BOLIVAR;TUBERCULOS Y PLATANOS;YUCA;236796
BOYACA;CEREALES;AVENA;2551,5
BOYACA;CEREALES;CEBADA;6033,5
BOYACA;CEREALES;CENTENO;10
BOYACA;CEREALES;MAIZ TRADICIONAL;69752
BOYACA;CEREALES;QUINUA;48
BOYACA;CEREALES;TRIGO;13850,5
BOYACA;FIBRAS;ESPARTO;12
BOYACA;FIBRAS;FIQUE;942
BOYACA;FLORES Y FOLLAJES;CLAVEL;229
BOYACA;FLORES Y FOLLAJES;FLORES Y FOLLAJES;76
BOYACA;FLORES Y FOLLAJES;POMPON Y CRISANTEMO;33
BOYACA;FLORES Y FOLLAJES;ROSA;102
BOYACA;FRUTALES;AGRAZ;1222
BOYACA;FRUTALES;AGUACATE;964
BOYACA;FRUTALES;ARAZA;46
BOYACA;FRUTALES;BANANITO;146
BOYACA;FRUTALES;BANANO;901
BOYACA;FRUTALES;BOROJO;16
BOYACA;FRUTALES;BREVO;1284
BOYACA;FRUTALES;CADUCIFOLIOS;54
BOYACA;FRUTALES;CHAMBA;68
BOYACA;FRUTALES;CHIRIMOYA;863
BOYACA;FRUTALES;CIRUELA;5749
BOYACA;FRUTALES;CITRICOS;5997
BOYACA;FRUTALES;CURUBA;6085
BOYACA;FRUTALES;DATIL;77
BOYACA;FRUTALES;DURAZNO;6175
BOYACA;FRUTALES;FEIJOA;1033
BOYACA;FRUTALES;FRESA;431
BOYACA;FRUTALES;FRUTALES VARIOS;76
BOYACA;FRUTALES;GRANADILLA;840
BOYACA;FRUTALES;GUANABANA;361
BOYACA;FRUTALES;GUAYABA;9338
BOYACA;FRUTALES;GULUPA;787
BOYACA;FRUTALES;HIGO;39
BOYACA;FRUTALES;LIMON;160
BOYACA;FRUTALES;LULO;4168
BOYACA;FRUTALES;MAMONCILLO;13
BOYACA;FRUTALES;MANDARINA;1273
BOYACA;FRUTALES;MANGO;756
BOYACA;FRUTALES;MANZANA;1124
BOYACA;FRUTALES;MARACUYA;17
BOYACA;FRUTALES;MELON;318
BOYACA;FRUTALES;MORA;5623
BOYACA;FRUTALES;NARANJA;3276
BOYACA;FRUTALES;PAPAYA;241
BOYACA;FRUTALES;PAPAYUELA;177
BOYACA;FRUTALES;PATILLA;50,5
BOYACA;FRUTALES;PERA;8318
BOYACA;FRUTALES;PI헤;558
BOYACA;FRUTALES;PITAHAYA;1998
BOYACA;FRUTALES;TOMATE DE ARBOL;4216
BOYACA;FRUTALES;UCHUVA;3175
BOYACA;FRUTALES;UVA;73
BOYACA;FRUTALES;ZAPOTE;125
BOYACA;HORTALIZAS;ACELGA;324,5
BOYACA;HORTALIZAS;AHUYAMA;464
BOYACA;HORTALIZAS;AJI;38
BOYACA;HORTALIZAS;AJO;140,5
BOYACA;HORTALIZAS;BROCOLI;72,5
BOYACA;HORTALIZAS;CALABAZA;31,5
BOYACA;HORTALIZAS;CEBOLLA DE BULBO;19773,5
BOYACA;HORTALIZAS;CEBOLLA DE RAMA;9140
BOYACA;HORTALIZAS;CILANTRO;81
BOYACA;HORTALIZAS;COLIFLOR;30,5
BOYACA;HORTALIZAS;HORTALIZAS VARIAS;332,5
BOYACA;HORTALIZAS;LECHUGA;118,5
BOYACA;HORTALIZAS;NABO;6
BOYACA;HORTALIZAS;PEPINO COHOMBRO;344,5
BOYACA;HORTALIZAS;PEPINO GUISO;765
BOYACA;HORTALIZAS;PIMENTON;242
BOYACA;HORTALIZAS;REMOLACHA;1148,5
BOYACA;HORTALIZAS;REPOLLO;199
BOYACA;HORTALIZAS;TOMATE;2935,5
BOYACA;HORTALIZAS;TOMATE INVERNADERO;1803,5
BOYACA;HORTALIZAS;ZANAHORIA;9121
BOYACA;LEGUMINOSAS;ALFALFA;3756
BOYACA;LEGUMINOSAS;ARVEJA;29232,5
BOYACA;LEGUMINOSAS;CHACHAFRUTO;15
BOYACA;LEGUMINOSAS;FRIJOL;27064
BOYACA;LEGUMINOSAS;GARBANZO;14
BOYACA;LEGUMINOSAS;GUANDUL;50
BOYACA;LEGUMINOSAS;HABA;4546,5
BOYACA;LEGUMINOSAS;HABICHUELA;910,5
BOYACA;LEGUMINOSAS;MANI;327
BOYACA;OTROS PERMANENTES;CACAO;24454
BOYACA;OTROS PERMANENTES;CAFE;69700
BOYACA;OTROS PERMANENTES;CA헤 MIEL;25024
BOYACA;OTROS PERMANENTES;CA헤 PANELERA;141827
BOYACA;OTROS PERMANENTES;TABACO NEGRO;2788
BOYACA;OTROS TRANSITORIOS;TABACO RUBIO;2775,5
BOYACA;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;ALBAHACA;67
BOYACA;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;LAUREL;1
BOYACA;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;MENTA;1
BOYACA;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;PLANTAS AROMATICAS;27
BOYACA;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;PLANTAS MEDICINALES;5
BOYACA;PLANTAS AROMATICAS, CONDIMENTARIAS Y MEDICINALES;RUDA;13,5
BOYACA;TUBERCULOS Y PLATANOS;ARRACACHA;4236
BOYACA;TUBERCULOS Y PLATANOS;CHONQUE;2
BOYACA;TUBERCULOS Y PLATANOS;MALANGA;151
BOYACA;TUBERCULOS Y PLATANOS;PAPA;162051
BOYACA;TUBERCULOS Y PLATANOS;PAPA CRIOLLA;3692
BOYACA;TUBERCULOS Y PLATANOS;PLATANO;32296
BOYACA;TUBERCULOS Y PLATANOS;RUBA;61,5
BOYACA;TUBERCULOS Y PLATANOS;SAGU;38
BOYACA;TUBERCULOS Y PLATANOS;YUCA;17944
CALDAS;CEREALES;MAIZ FORRAJERO;1704,5
CALDAS;CEREALES;MAIZ TECNIFICADO;5088
CALDAS;CEREALES;MAIZ TRADICIONAL;8075,5
CALDAS;FIBRAS;ESTROPAJO;8
CALDAS;FIBRAS;FIQUE;2623
CALDAS;FIBRAS;IRACA;85
CALDAS;FLORES Y FOLLAJES;ASPARRAGUS;64
CALDAS;FLORES Y FOLLAJES;FLORES Y FOLLAJES;65
CALDAS;FORESTALES;CAUCHO;6567
CALDAS;FRUTALES;AGUACATE;14115
CALDAS;FRUTALES;BANANITO;27
CALDAS;FRUTALES;BANANO;4060
CALDAS;FRUTALES;BANANO EXPORTACION;4
CALDAS;FRUTALES;BREVO;16
CALDAS;FRUTALES;CHONTADURO;206
CALDAS;FRUTALES;CITRICOS;21987
CALDAS;FRUTALES;FEIJOA;177
CALDAS;FRUTALES;FRUTALES VARIOS;97
CALDAS;FRUTALES;GRANADILLA;2059
CALDAS;FRUTALES;GUANABANA;450
CALDAS;FRUTALES;GUAYABA;981
CALDAS;FRUTALES;GUAYABA MANZANA;133
CALDAS;FRUTALES;GUAYABA PERA;480
CALDAS;FRUTALES;LIMA;70
CALDAS;FRUTALES;LIMON;362
CALDAS;FRUTALES;LULO;1760
CALDAS;FRUTALES;MACADAMIA;256
CALDAS;FRUTALES;MANDARINA;591
CALDAS;FRUTALES;MANDARINA ONECO;2
CALDAS;FRUTALES;MANGO;711
CALDAS;FRUTALES;MANGOSTINO;11
CALDAS;FRUTALES;MARACUYA;523
CALDAS;FRUTALES;MELON;2
CALDAS;FRUTALES;MORA;1941
CALDAS;FRUTALES;NARANJA;2846
CALDAS;FRUTALES;PAPAYA;196
CALDAS;FRUTALES;PATILLA;7
CALDAS;FRUTALES;PI헤;10
CALDAS;FRUTALES;TOMATE DE ARBOL;422
CALDAS;FRUTALES;ZAPOTE;20
CALDAS;HORTALIZAS;ACELGA;1
CALDAS;HORTALIZAS;AHUYAMA;150,5
CALDAS;HORTALIZAS;BROCOLI;0,5
CALDAS;HORTALIZAS;CEBOLLA DE BULBO;43
CALDAS;HORTALIZAS;CEBOLLA DE RAMA;312,5
CALDAS;HORTALIZAS;CILANTRO;19
CALDAS;HORTALIZAS;COLIFLOR;0
CALDAS;HORTALIZAS;ESPARRAGO;508
CALDAS;HORTALIZAS;HORTALIZAS VARIAS;451,5
CALDAS;HORTALIZAS;LECHUGA;3
CALDAS;HORTALIZAS;PEPINO COHOMBRO;108
CALDAS;HORTALIZAS;PIMENTON;56,5
CALDAS;HORTALIZAS;REMOLACHA;2,5
CALDAS;HORTALIZAS;REPOLLO;60,5
CALDAS;HORTALIZAS;TOMATE;3559
CALDAS;HORTALIZAS;TOMATE INVERNADERO;83,5
CALDAS;HORTALIZAS;ZANAHORIA;52
CALDAS;LEGUMINOSAS;ARVEJA;181,5
CALDAS;LEGUMINOSAS;FRIJOL;8560,5
CALDAS;LEGUMINOSAS;HABICHUELA;167
CALDAS;LEGUMINOSAS;MANI;1
CALDAS;LEGUMINOSAS;SOYA;233,5
CALDAS;OLEAGINOSAS;HIGUERILLA;55
CALDAS;OLEAGINOSAS;JATROPHA;1
CALDAS;OTROS PERMANENTES;CACAO;16287
CALDAS;OTROS PERMANENTES;CAFE;497552
CALDAS;OTROS PERMANENTES;CA헤 AZUCARERA;17101
CALDAS;OTROS PERMANENTES;CA헤 PANELERA;68504
CALDAS;OTROS PERMANENTES;TABACO NEGRO;52
